name,address,enrollment,feature__type,feature__geometry__type,longitude,latitude,feature__properties__name,feature__properties__fall_ft
Aviation Institute of Maintenance-Philadelphia,3001 Grant Avenue Philadelphia PA 19114-1018,263,Feature,Point,-75.0071705,40.0702376,Aviation Institute of Maintenance-Philadelphia,263
Brightwood Career Institute-Philadelphia,3010 Market Street Philadelphia PA 19104,311,Feature,Point,-75.1838864,39.9547138,Brightwood Career Institute-Philadelphia,311
Brightwood Career Institute-Philadelphia Mills,177 Franklin Mills Blvd. Philadelphia PA 19154,299,Feature,Point,-74.9667271,40.0895135,Brightwood Career Institute-Philadelphia Mills,299
Chestnut Hill College,9601 Germantown Ave Philadelphia PA 19118-2693,1317,Feature,Point,-75.2286092,40.0866725,Chestnut Hill College,1317
Community College of Philadelphia,1700 Spring Garden St Philadelphia PA 19130-3991,4884,Feature,Point,-75.1669873,39.9616076,Community College of Philadelphia,4884
Curtis Institute of Music,1726 Locust St Philadelphia PA 19103,173,Feature,Point,-75.1704439,39.9487641,Curtis Institute of Music,173
Drexel University,3141 Chestnut St Philadelphia PA 19104,17785,Feature,Point,-75.1868606,39.9540928,Drexel University,17785
Empire Beauty School-Center City Philadelphia,1522 Chestnut St Philadelphia PA 19102-2701,215,Feature,Point,-75.1666251,39.9510221,Empire Beauty School-Center City Philadelphia,215
Empire Beauty School-NE Philadelphia,4026 Woodhaven Rd Philadelphia PA 19154,72,Feature,Point,-74.9715138,40.0849564,Empire Beauty School-NE Philadelphia,72
Holy Family University,9801 Frankford Avenue Philadelphia PA 19114-2009,1491,Feature,Point,-74.9886069,40.0592303,Holy Family University,1491
Hussian College School of Art,The Bourse Suite 300 111 S. Independence Mall East Philadelphia PA 19106,50,Feature,Point,-75.1481542,39.949767,Hussian College School of Art,50
Jean Madeline Aveda Institute,315A Bainbridge St Philadelphia PA 19147,185,Feature,Point,-75.1483587,39.9407841,Jean Madeline Aveda Institute,185
Jna Institute of Culinary Arts,1212 S Broad St Philadelphia PA 19146,31,Feature,Point,-75.1676847,39.9351855,Jna Institute of Culinary Arts,31
L T International Beauty School,830 North Broad Street Philadelphia PA 19130,19,Feature,Point,-75.160341,39.9689544,L T International Beauty School,19
La Salle University,1900 W Olney Ave Philadelphia PA 19141-1199,3475,Feature,Point,-75.153854,40.0390582,La Salle University,3475
Lincoln Technical Institute-Center City Philadelphia,3600 Market St Philadelphia PA 19104,377,Feature,Point,-75.1945728,39.9558177,Lincoln Technical Institute-Center City Philadelphia,377
Lincoln Technical Institute-Northeast Philadelphia,2180 Hornig Rd Philadelphia PA 19116,219,Feature,Point,-74.996562,40.1112954,Lincoln Technical Institute-Northeast Philadelphia,219
Lincoln Technical Institute-Philadelphia,9191 Torresdale Ave Philadelphia PA 19136,233,Feature,Point,-74.9996845,40.0496637,Lincoln Technical Institute-Philadelphia,233
Moore College of Art and Design,20th and the Parkway Philadelphia PA 19103-1179,389,Feature,Point,-75.1736246,39.9503218,Moore College of Art and Design,389
Orleans Technical College,2770 Red Lion Road Philadelphia PA 19114-1014,273,Feature,Point,-75.0115525,40.0905521,Orleans Technical College,273
Peirce College,1420 Pine Street Philadelphia PA 19102-4699,323,Feature,Point,-75.1662577,39.945416,Peirce College,323
Pennsylvania Academy of the Fine Arts,128 N. Broad Street Philadelphia PA 19102-1510,283,Feature,Point,-75.1634392,39.9556336,Pennsylvania Academy of the Fine Arts,283
Philadelphia Technician Training,7446 D Ogontz Avenue Philadelphia PA 19138-1324,177,Feature,Point,-75.1572515,40.0686815,Philadelphia Technician Training,177
Philadelphia University,4201 Henry Avenue Philadelphia PA 19144-5497,2925,Feature,Point,-75.1911152,40.0222731,Philadelphia University,2925
Prism Career Institute-Philadelphia,8040 Roosevelt Boulevard Philadelphia PA 19152,86,Feature,Point,-75.0462962,40.0578515,Prism Career Institute-Philadelphia,86
Saint Joseph's University,5600 City Avenue Philadelphia PA 19131-1395,5185,Feature,Point,-75.2401232,39.9949955,Saint Joseph's University,5185
Studio Incamminati,340 North 12th Street  Suite 400 Philadelphia PA 19107-1105,27,Feature,Point,-75.1588089,39.9589102,Studio Incamminati,27
Talmudical Yeshiva of Philadelphia,6063 Drexel Rd Philadelphia PA 19131,124,Feature,Point,-75.2479744,39.9892304,Talmudical Yeshiva of Philadelphia,124
Temple University,1801 North Broad Street Philadelphia PA 19122-6096,33702,Feature,Point,-75.1578372,39.9809442,Temple University,33702
The Art Institute of Philadelphia,1622 Chestnut Street Philadelphia PA 19103-5198,740,Feature,Point,-75.1680861,39.9511325,The Art Institute of Philadelphia,740
The Restaurant School at Walnut Hill College,4207 Walnut St Philadelphia PA 19104,428,Feature,Point,-75.2074747,39.9551006,The Restaurant School at Walnut Hill College,428
The University of the Arts,320 South Broad St Philadelphia PA 19102-4901,1821,Feature,Point,-75.1656022,39.9459796,The University of the Arts,1821
The Workforce Institute's City College,1231 N. Broad Street Philadelphia PA 19122,20,Feature,Point,-75.1586423,39.9729618,The Workforce Institute's City College,20
University of Pennsylvania,34th & Spruce Street Philadelphia PA 19104-6303,21358,Feature,Point,-81.2322353,40.967847,University of Pennsylvania,21358
University of Phoenix-Pennsylvania,30 S 17th St Philadelphia PA 19103,248,Feature,Point,-75.1695409,39.9522045,University of Phoenix-Pennsylvania,248
University of the Sciences,600 South 43rd Street Philadelphia PA 19104-4495,2295,Feature,Point,-75.208133,39.9465441,University of the Sciences,2295
